date_time,"los+angeles,ca_maxtempC","los+angeles,ca_mintempC","los+angeles,ca_totalSnow_cm","los+angeles,ca_sunHour","los+angeles,ca_uvIndex","los+angeles,ca_uvIndex","los+angeles,ca_moon_illumination","los+angeles,ca_moonrise","los+angeles,ca_moonset","los+angeles,ca_sunrise","los+angeles,ca_sunset","los+angeles,ca_DewPointC","los+angeles,ca_FeelsLikeC","los+angeles,ca_HeatIndexC","los+angeles,ca_WindChillC","los+angeles,ca_WindGustKmph","los+angeles,ca_cloudcover","los+angeles,ca_humidity","los+angeles,ca_precipMM","los+angeles,ca_pressure","los+angeles,ca_tempC","los+angeles,ca_visibility","los+angeles,ca_winddirDegree","los+angeles,ca_windspeedKmph"
2019-01-18 09:00:00,17,10,0.0,8.7,3,4,83,02:49 PM,04:19 AM,06:58 AM,05:10 PM,10,13,13,13,3,5,86,0.0,1022,12,10,82,2
2019-01-18 12:00:00,17,10,0.0,8.7,3,5,83,02:49 PM,04:19 AM,06:58 AM,05:10 PM,9,17,17,17,5,7,64,0.0,1024,16,10,178,3
2019-01-18 15:00:00,17,10,0.0,8.7,3,5,83,02:49 PM,04:19 AM,06:58 AM,05:10 PM,10,17,17,17,10,3,63,0.0,1023,17,10,219,5
2019-01-18 18:00:00,17,10,0.0,8.7,3,0,83,02:49 PM,04:19 AM,06:58 AM,05:10 PM,11,15,15,15,13,4,75,0.0,1024,15,10,250,0
2019-01-18 21:00:00,17,10,0.0,8.7,3,0,83,02:49 PM,04:19 AM,06:58 AM,05:10 PM,12,14,14,14,11,6,83,0.0,1025,13,10,290,1
2019-01-19 00:00:00,21,11,0.0,8.7,5,0,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,10,13,13,13,11,4,82,0.0,1025,12,10,332,0
2019-01-19 03:00:00,21,11,0.0,8.7,5,0,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,9,12,12,12,17,5,80,0.0,1025,11,10,359,0
2019-01-19 06:00:00,21,11,0.0,8.7,5,0,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,8,11,11,11,21,7,78,0.0,1024,11,10,359,1
2019-01-19 09:00:00,21,11,0.0,8.7,5,4,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,8,14,14,14,18,16,66,0.0,1025,13,10,356,0
2019-01-19 12:00:00,21,11,0.0,8.7,5,5,90,03:49 PM,05:25 AM,06:57 AM,05:11 PM,8,19,19,19,8,28,49,0.0,1024,18,10,336,3
