Location,Code,Starting_a_Business_rank,Starting_a_Business_score,Procedure,Time,Cost,Procedure,Time,Cost,Paid_in_min,Income_Level,GNI
New Zealand,NZL,1,100,1,0.5,0.2,1,0.5,0.2,0,High income,40820
Nicaragua,NIC,92,79.6,7,14,65.7,7,14,65.7,0,Lower middle income,2030
Niger,NER,36,91.5,4,10,7.9,4,10,7.9,11.3,Low income,380
Nigeria,NGA,63,86.2,7,7,26.1,7,7,26.1,0,Lower middle income,1960
Norway,NOR,18,94.3,4,4,0.8,4,4,0.8,4.3,High income,80790
Oman,OMN,21,93.5,4,4,3.1,5,5,3.1,0,High income,15110
Pakistan,PAK,45,89.3,5,16.5,6.7,5,16.5,6.7,0,Lower middle income,1580
Palau,PLW,83,82.1,8,28,2.2,8,28,2.2,5.9,High income,16910
Panama,PAN,33,92,5,6,5.8,5,6,5.8,0,High income,14370
Papua New Guinea,PNG,90,80.1,6,41,18.6,6,41,18.6,0,Lower middle income,2530
Paraguay,PRY,106,76,7,35,52.2,7,35,52.2,0,Upper middle income,5680
Peru,PER,83,82.1,8,26,9.4,8,26,9.4,0,Upper middle income,6530
Philippines,PHL,116,71.3,13,33,23.3,13,33,23.3,0,Lower middle income,3830
Poland,POL,79,82.9,5,37,11.6,5,37,11.6,9.3,High income,14150
Portugal,PRT,41,90.9,6,6.5,1.9,6,6.5,1.9,0,High income,21680
Puerto Rico,PRI,39,91.2,6,5.5,1.2,6,5.5,1.2,0,High income,21100
Qatar,QAT,64,86.1,8,8.5,6.3,9,9.5,6.3,0,High income,61190
Romania,ROU,55,87.7,6,20,0.3,6,20,0.3,0.4,Upper middle income,11290
Russian,RUS,25,93.1,4,10,1,4,10,1,0,Upper middle income,10230
Rwanda,RWA,24,93.2,5,4,0,5,4,0,0,Low income,780
Samoa,WSM,29,92.6,4,9,6.9,4,9,6.9,0,Upper middle income,4190
San Marino,SMR,56,87.3,7,11.5,8.8,7,11.5,8.8,0,High income,51430
SÃ£o TomÃ© and PrÃncipe,STP,97,78.2,6,7,12.4,6,7,12.4,179.6,Lower middle income,1890
