location,protecting_minority_investors_rank,protecting_minority_investors_score,strength_of_minority_investor_protection_index_(0-50),extent_of_disclosure_index_(0-10),extent_of_director_liability_index_(0-10),ease_of_shareholder_suits_index_(0-10),extent_of_shareholder_rights_index_(0-6),extent_of_ownership_and_control_index_(0-7),extent_of_corporate_transparency_index_(0-7),starting_a_business_score
Sudan,153,30.0,15,3.0,1.0,6.0,2.0,2.0,1.0,76.7
Suriname,157,28.0,14,1.0,0.0,6.0,4.0,2.0,1.0,61.6
Sweden,28,72.0,36,8.0,4.0,7.0,5.0,6.0,6.0,93.1
Switzerland,105,50.0,25,0.0,5.0,5.0,5.0,5.0,5.0,88.4
Syrian Arab Republic,97,54.0,27,7.0,5.0,3.0,3.0,5.0,4.0,80.1
"Taiwan, China",21,76.0,38,9.0,5.0,7.0,4.0,6.0,7.0,94.4
Tajikistan,128,40.0,20,8.0,6.0,6.0,0.0,0.0,0.0,93.2
Tanzania,105,50.0,25,2.0,6.0,8.0,3.0,2.0,4.0,74.4
Thailand,3,86.0,43,10.0,7.0,9.0,5.0,6.0,6.0,92.4
Timor-Leste,157,28.0,14,5.0,4.0,5.0,0.0,0.0,0.0,89.4
Togo,120,42.0,21,7.0,1.0,5.0,4.0,2.0,2.0,95.1
Tonga,153,30.0,15,3.0,3.0,9.0,0.0,0.0,0.0,90.9
Trinidad and Tobago,57,64.0,32,4.0,9.0,8.0,5.0,4.0,2.0,88.6
Tunisia,61,62.0,31,6.0,7.0,5.0,4.0,4.0,5.0,94.6
Turkey,21,76.0,38,9.0,5.0,6.0,6.0,6.0,6.0,88.8
Uganda,88,56.0,28,3.0,5.0,7.0,3.0,5.0,5.0,71.4
Ukraine,45,68.0,34,9.0,2.0,6.0,4.0,6.0,7.0,91.1
United Arab Emirates,13,80.0,40,10.0,10.0,4.0,4.0,7.0,5.0,94.8
United Kingdom,7,84.0,42,10.0,7.0,8.0,6.0,5.0,6.0,94.6
United States,36,71.6,36,7.0,9.0,9.0,2.0,3.0,5.0,91.6
Uruguay,153,30.0,15,3.0,4.0,8.0,0.0,0.0,0.0,89.6
Uzbekistan,37,70.0,35,8.0,3.0,7.0,4.0,7.0,6.0,96.2
Vanuatu,147,32.0,16,5.0,6.0,5.0,0.0,0.0,0.0,81.5
"Venezuela, RB",170,24.0,12,3.0,2.0,3.0,1.0,2.0,1.0,25
Vietnam,97,54.0,27,7.0,4.0,2.0,4.0,5.0,5.0,85.1
West Bank and Gaza,114,44.0,22,6.0,5.0,6.0,2.0,1.0,2.0,70.2
"Yemen, Rep.",162,26.0,13,6.0,4.0,3.0,0.0,0.0,0.0,76.8
Zambia,72,60.0,30,4.0,6.0,7.0,4.0,5.0,4.0,84.9
Zimbabwe,97,54.0,27,8.0,2.0,5.0,6.0,3.0,3.0,72
